Nombre,Estado,entidad,tipo,propiedad,Longtiud,Latitud
Los Velazquitos,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.67757099195002,19.212738081916047
Tavera,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71535039520718,19.2613499232226
Baitoa,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.7089612734424,19.32773984164023
Baitoa,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.7089612734424,19.32773984164023
López,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71118359328536,19.3341288282092
López,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71118359328536,19.3341288282092
Las Charcas,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71396153104472,19.408574424398907
Pte. Viejo Santiago,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71173922743638,19.431074774576242
Pte. Viejo Santiago,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.71173922743638,19.431074774576242
Santiago,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.7031277572589,19.44135271653682
Santiago,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.7031277572589,19.44135271653682
Hato Yaque,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.79618729482503,19.50579811113829
Cañeo,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.98313968903487,19.54246523622112
Jicome,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.14731337596294,19.62496641261221
La Caña,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.52538496583806,19.62246608455672
Dique Juan Gómez,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.41704709221432,19.68913387953304
El Higuero,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.83769486277758,19.247946963418563
Redondo,regular,INDRHI,hidrométrica,pública,-70.58389428770657,19.028633159140007
Aguas Caliente,regular,INDRHI,hidrométrica,pública,-70.89813589744726,19.24523846060087
Pinalito,regular,INDRHI,hidrométrica,pública,-70.75896717093461,19.295237309294677
Inoa,regular,INDRHI,hidrométrica,pública,-70.98299853596488,19.35221660001345
Paso de la Palma,regular,INDRHI,hidrométrica,pública,-71.51603956258829,19.574552486498472
Los Pilones,regular,INDRHI,hidrométrica,pública,-70.77351841183253,19.25578956385491
El Cerrazo,regular,INDRHI,hidrométrica,pública,-70.72709960791924,19.235924943015227
Palomino,activa o bueno,INDRHI,hidrométrica,pública,-70.96943944153779,18.805121456331573
Paso de Lima,activa o bueno,INDRHI,hidrométrica,pública,-71.29825708139882,19.024721732838668
Vallejuelo,activa o bueno,INDRHI,hidrométrica,pública,-71.31720633654864,18.65660452271541
Hato Viejo,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.25538234307757,18.797069642927898
Palo Alto,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.17364488520474,18.299279053326956
Conuquito,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.15147937400539,18.41161449238778
El Rodeo,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.26759778150804,19.005510135225215
La Coja,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.81868326176988,18.768563547207272
